# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	1	1425	+					dnaA		ABO_RS00005	1425		old_locus_tag=ABO_0001
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	1	1425	+	WP_011587299.1	WP_011587299.1		chromosomal replication initiator protein DnaA	dnaA		ABO_RS00005	1425	474	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	1478	2578	+					dnaN		ABO_RS00010	1101		old_locus_tag=ABO_0002
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	1478	2578	+	WP_011587300.1	WP_011587300.1		DNA polymerase III subunit beta	dnaN		ABO_RS00010	1101	366	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	2666	3775	+					recF		ABO_RS00015	1110		old_locus_tag=ABO_0003
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	2666	3775	+	WP_041704514.1	WP_041704514.1		DNA replication/repair protein RecF	recF		ABO_RS00015	1110	369	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	3785	6202	+					gyrB		ABO_RS00020	2418		old_locus_tag=ABO_0004
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	3785	6202	+	WP_011587302.1	WP_011587302.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ABO_RS00020	2418	805	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	6297	6653	-							ABO_RS00025	357		old_locus_tag=ABO_0005
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	6297	6653	-	WP_011587303.1	WP_011587303.1		H-NS histone family protein			ABO_RS00025	357	118	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	6806	7534	-							ABO_RS00030	729		old_locus_tag=ABO_0006
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	6806	7534	-	WP_011587304.1	WP_011587304.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			ABO_RS00030	729	242	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	7531	8079	-					gmhB		ABO_RS00035	549		old_locus_tag=ABO_0007
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	7531	8079	-	WP_011587305.1	WP_011587305.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		ABO_RS00035	549	182	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	8198	10270	-					glyS		ABO_RS00040	2073		old_locus_tag=ABO_0008
