# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	39	1430	+					dnaA		S7S_RS00005	1392		old_locus_tag=S7S_00005
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	39	1430	+	WP_008734390.1	WP_008734390.1		chromosomal replication initiator protein DnaA	dnaA		S7S_RS00005	1392	463	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	1459	2559	+					dnaN		S7S_RS00010	1101		old_locus_tag=S7S_00010
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	1459	2559	+	WP_008734388.1	WP_008734388.1		DNA polymerase III subunit beta	dnaN		S7S_RS00010	1101	366	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	2621	3706	+					recF		S7S_RS00015	1086		old_locus_tag=S7S_00015
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	2621	3706	+	WP_008734386.1	WP_008734386.1		DNA replication/repair protein RecF	recF		S7S_RS00015	1086	361	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	3759	6176	+					gyrB		S7S_RS00020	2418		old_locus_tag=S7S_00020
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	3759	6176	+	WP_008734384.1	WP_008734384.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		S7S_RS00020	2418	805	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	6362	7141	+							S7S_RS00025	780		old_locus_tag=S7S_00025
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	6362	7141	+	WP_008734381.1	WP_008734381.1		response regulator transcription factor			S7S_RS00025	780	259	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	7205	7540	-							S7S_RS00030	336		old_locus_tag=S7S_00030
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	7205	7540	-	WP_008734379.1	WP_008734379.1		H-NS histone family protein			S7S_RS00030	336	111	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	7707	8444	-							S7S_RS00035	738		old_locus_tag=S7S_00035
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	7707	8444	-	WP_008734378.1	WP_008734378.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			S7S_RS00035	738	245	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	8478	9029	-					gmhB		S7S_RS00040	552		old_locus_tag=S7S_00040
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	8478	9029	-	WP_008734376.1	WP_008734376.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		S7S_RS00040	552	183	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	9029	11116	-					glyS		S7S_RS00045	2088		old_locus_tag=S7S_00045
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	9029	11116	-	WP_041025830.1	WP_041025830.1		glycine--tRNA ligase subunit beta	glyS		S7S_RS00045	2088	695	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	11116	12120	-					glyQ		S7S_RS00050	1005		old_locus_tag=S7S_00050
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	11116	12120	-	WP_008734374.1	WP_008734374.1		glycine--tRNA ligase subunit alpha	glyQ		S7S_RS00050	1005	334	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	12330	12902	+							S7S_RS00055	573		old_locus_tag=S7S_00055
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	12330	12902	+	WP_202966537.1	WP_202966537.1		DNA-3-methyladenine glycosylase I			S7S_RS00055	573	190	
