# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	100	1497	+					dnaA		B5T_RS00005	1398		old_locus_tag=B5T_00001
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	100	1497	+	WP_014992371.1	WP_014992371.1		chromosomal replication initiator protein DnaA	dnaA		B5T_RS00005	1398	465	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	1536	2636	+					dnaN		B5T_RS00010	1101		old_locus_tag=B5T_00002
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	1536	2636	+	WP_014992372.1	WP_014992372.1		DNA polymerase III subunit beta	dnaN		B5T_RS00010	1101	366	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	2694	3797	+					recF		B5T_RS00015	1104		old_locus_tag=B5T_00003
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	2694	3797	+	WP_014992373.1	WP_014992373.1		DNA replication/repair protein RecF	recF		B5T_RS00015	1104	367	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	3807	6221	+					gyrB		B5T_RS00020	2415		old_locus_tag=B5T_00004
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	3807	6221	+	WP_014992374.1	WP_014992374.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		B5T_RS00020	2415	804	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	6321	6707	-							B5T_RS00025	387		old_locus_tag=B5T_00005
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	6321	6707	-	WP_229682911.1	WP_229682911.1		H-NS histone family protein			B5T_RS00025	387	128	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	6751	7512	-							B5T_RS00030	762		old_locus_tag=B5T_00006
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	6751	7512	-	WP_014992376.1	WP_014992376.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			B5T_RS00030	762	253	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	7509	8060	-					gmhB		B5T_RS00035	552		old_locus_tag=B5T_00007
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	7509	8060	-	WP_014992377.1	WP_014992377.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		B5T_RS00035	552	183	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	8131	8898	-							B5T_RS00040	768		old_locus_tag=B5T_00008
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	8131	8898	-	WP_014992378.1	WP_014992378.1		GntR family transcriptional regulator			B5T_RS00040	768	255	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	8895	9818	-							B5T_RS00045	924		old_locus_tag=B5T_00009
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	8895	9818	-	WP_014992379.1	WP_014992379.1		polysaccharide deacetylase family protein			B5T_RS00045	924	307	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	9833	10276	-							B5T_RS00050	444		old_locus_tag=B5T_00010
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	9833	10276	-	WP_148279171.1	WP_148279171.1		nuclear transport factor 2 family protein			B5T_RS00050	444	147	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	10535	11704	+							B5T_RS00055	1170		old_locus_tag=B5T_00011
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	10535	11704	+	WP_041717186.1	WP_041717186.1		ABC transporter substrate-binding protein			B5T_RS00055	1170	389	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	11718	12602	+							B5T_RS00060	885		old_locus_tag=B5T_00012
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	11718	12602	+	WP_014992382.1	WP_014992382.1		branched-chain amino acid ABC transporter permease			B5T_RS00060	885	294	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	12599	15097	+							B5T_RS00065	2499		old_locus_tag=B5T_00013
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	12599	15097	+	WP_014992383.1	WP_014992383.1		ATP-binding cassette domain-containing protein			B5T_RS00065	2499	832	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	15078	17150	-					glyS		B5T_RS00070	2073		old_locus_tag=B5T_00014
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	15078	17150	-	WP_014992384.1	WP_014992384.1		glycine--tRNA ligase subunit beta	glyS		B5T_RS00070	2073	690	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	17150	18157	-					glyQ		B5T_RS00075	1008		old_locus_tag=B5T_00015
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	17150	18157	-	WP_014992385.1	WP_014992385.1		glycine--tRNA ligase subunit alpha	glyQ		B5T_RS00075	1008	335	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	18358	18924	+							B5T_RS00080	567		old_locus_tag=B5T_00016
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	18358	18924	+	WP_014992386.1	WP_014992386.1		DNA-3-methyladenine glycosylase I			B5T_RS00080	567	188	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	19030	19755	+							B5T_RS00085	726		old_locus_tag=B5T_00017
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	19030	19755	+	WP_014992387.1	WP_014992387.1		glutamine amidotransferase			B5T_RS00085	726	241	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	19824	20456	+							B5T_RS00090	633		old_locus_tag=B5T_00018
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	19824	20456	+	WP_014992388.1	WP_014992388.1		acyltransferase			B5T_RS00090	633	210	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	20535	21143	+							B5T_RS00095	609		old_locus_tag=B5T_00019
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	20535	21143	+	WP_014992389.1	WP_014992389.1		TetR/AcrR family transcriptional regulator			B5T_RS00095	609	202	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	21144	23015	+							B5T_RS00100	1872		old_locus_tag=B5T_00020
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	21144	23015	+	WP_014992390.1	WP_014992390.1		MFS transporter			B5T_RS00100	1872	623	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	23117	23650	+							B5T_RS00105	534		old_locus_tag=B5T_00021
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	23117	23650	+	WP_229682916.1	WP_229682916.1		RimK/LysX family protein			B5T_RS00105	534	177	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	23694	24365	-							B5T_RS00110	672		old_locus_tag=B5T_00022
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	23694	24365	-	WP_014992392.1	WP_014992392.1		fumarylacetoacetate hydrolase family protein			B5T_RS00110	672	223	
gene	protein_coding	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	24406	25800	-							B5T_RS00115	1395		old_locus_tag=B5T_00023
CDS	with_protein	GCF_000300005.1	Primary Assembly	chromosome		NC_018691.1	24406	25800	-	WP_014992393.1	WP_014992393.1		FAD-binding oxidoreductase			B5T_RS00115	1395	464	
