# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	3348895	40	-							CNR27_RS00005	2922		old_locus_tag=CNR27_00005
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	3348895	40	-	WP_096300098.1	WP_096300098.1		pre-peptidase C-terminal domain-containing protein			CNR27_RS00005	2922	973	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	3351723	678	-							CNR27_RS15505	732		
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	3351723	678	-	WP_222843111.1	WP_222843111.1		lamin tail domain-containing protein			CNR27_RS15505	732	243	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	812	1684	+							CNR27_RS00015	873		old_locus_tag=CNR27_00015
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	812	1684	+	WP_096296371.1	WP_096296371.1		tryptophan 2,3-dioxygenase family protein			CNR27_RS00015	873	290	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	1796	2869	+					pdhA		CNR27_RS00020	1074		old_locus_tag=CNR27_00020
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	1796	2869	+	WP_096296372.1	WP_096296372.1		pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	pdhA		CNR27_RS00020	1074	357	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	2866	3897	+							CNR27_RS00025	1032		old_locus_tag=CNR27_00025
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	2866	3897	+	WP_096296373.1	WP_096296373.1		alpha-ketoacid dehydrogenase subunit beta			CNR27_RS00025	1032	343	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	4072	5523	+							CNR27_RS00030	1452		old_locus_tag=CNR27_00030
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	4072	5523	+	WP_096296374.1	WP_096296374.1		2-oxo acid dehydrogenase subunit E2			CNR27_RS00030	1452	483	
gene	pseudogene	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	5528	6295	+							CNR27_RS00035	768		pseudo;old_locus_tag=CNR27_00035
CDS	without_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	5528	6295	+				SDR family oxidoreductase			CNR27_RS00035	768		pseudo
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	6368	7198	-							CNR27_RS00040	831		old_locus_tag=CNR27_00040
